Source	pctAl	pctO
Fruehan70	1.39367218	0.004596175
Fruehan70	0.852931006	0.003025143
Fruehan70	0.352343845	0.001354972
Fruehan70	0.068845263	0.000781502
Fruehan70	0.058452525	0.000683607
Fruehan70	0.101744085	0.000682918
Fruehan70	0.150542729	0.000767414
Hayashi08	0.000316175	0.010974626
Hayashi08	0.001177798	0.003560295
Hayashi08	0.007759402	0.00106102
Hayashi08	0.023054272	0.000532499
Hayashi08	0.022668943	0.000473545
Hayashi08	0.019327778	0.001007297
Hayashi08	0.030437829	0.000618918
Hilty50	0.001122472	0.133149491
Hilty50	0.001119811	0.080518335
Hilty50	0.001952261	0.112482879
Hilty50	0.001888742	0.101723959
Hilty50	0.001739801	0.088968397
Hilty50	0.001430121	0.081843268
Hilty50	0.001429329	0.07278008
Hilty50	0.001428877	0.068059157
Hilty50	0.001655193	0.072760645
Hilty50	0.001737188	0.064697491
Hilty50	0.002012973	0.073964509
Hilty50	0.002112692	0.065767946
Hilty50	0.002149284	0.079085669
Hilty50	0.002571601	0.08039657
Hilty50	0.003231624	0.084508728
Hilty50	0.002329404	0.063587825
Hilty50	0.002697712	0.064645675
Hilty50	0.003444728	0.063542554
Hilty50	0.002972787	0.055581304
Hilty50	0.002326641	0.049448328
Hilty50	0.006815549	0.03902655
Hilty50	0.010919185	0.028834975
Hilty50	0.009273049	0.026524121
Hilty50	0.047865964	0.00889288
Hilty50	0.152485036	0.01160463
Hilty50	0.123287113	0.01015189
Hilty50	0.113529141	0.00830297
Hilty50	0.142543235	0.007257735
Hilty50	0.165041873	0.007016526
Hilty50	0.173094404	0.005365122
Hilty50	0.251773715	0.005098457
Hilty50	0.120919902	0.005279364
Hilty50	0.101110017	0.005742895
Hilty50	0.075362527	0.005196057
Hilty50	0.336324838	0.002240855
Hilty50	0.395872008	0.00224019
Hilty50	0.473695179	0.002315827
Hilty50	0.473920141	0.002560914
Hilty50	0.667596303	0.002736846
Hilty50	0.576178552	0.002434422
Hilty50	0.546944999	0.001245016
Hilty50	0.665328528	0.001330902
Janke76	0.000309908	0.004990827
Janke76	0.000415984	0.00609984
Janke76	0.00061511	0.005994151
Janke76	0.000711972	0.005419045
Janke76	0.000923406	0.004580381
Janke76	0.000837299	0.004505028
Janke76	0.000922018	0.003330836
Janke76	0.001101443	0.002421381
Janke76	0.00143284	0.003870248
Janke76	0.001430461	0.00272162
Janke76	0.001827433	0.002958296
Janke76	0.002014088	0.002630231
Janke76	0.001794616	0.002011779
Janke76	0.005897172	0.001877212
Janke76	0.004758555	0.00107992
Janke76	0.005334166	0.001097951
Janke76	0.011433831	0.000498594
Janke76	0.011273016	0.00078408
Janke76	0.015369344	0.000824062
Janke76	0.01750608	0.000783452
Janke76	0.020618625	0.000895644
Janke76	0.023873013	0.000865878
Janke76	0.036453218	0.000769398
Janke76	0.05046426	0.000650247
Janke76	0.063411326	0.000672142
Janke76	0.078317312	0.00056817
Janke76	0.085048783	0.000694691
Janke76	0.143164978	0.000577143
Janke76	0.211695911	0.000567143
Janke76	0.241203451	0.000576595
Janke76	0.356438215	0.000495482
Janke76	0.339050483	0.000391855
Janke76	0.527018148	0.000478802
Janke76	0.590674606	0.000470743
Janke76	0.609766837	0.000398055
Janke76	1.009201694	0.000289198
Janke76	0.617682943	0.000193565
Janke76	1.09282618	0.000193364
Janke76	0.178943997	0.000194002
Janke76	0.157065374	0.000194048
Janke76	0.066489431	0.000488736
Janke76	0.188284714	0.000294988
Janke76	1.2288047	0.000378046
Janke76	1.399972631	0.000377956
Janke76	0.87418231	0.000556275
Kang09	8.855486256	0.000644159
Kang09	8.849881958	0.000563302
Kang09	7.273473942	0.000501101
Kang09	5.326889604	0.000346719
Kang09	5.071847737	0.000335315
Kang09	5.496894009	0.000269606
Kang09	3.485515463	0.000324479
Kang09	3.318635269	0.000313807
Kang09	4.303486891	0.000256494
Kang09	4.442587452	0.000216889
Kang09	3.480554265	0.000239949
Kang09	2.725768688	0.000244115
Kang09	1.515377486	0.000232388
Kang09	0.236984365	0.000433609
Kang09	0.121822716	0.000807313
Kang09	0.121880571	0.000892752
Kang09	0.041603381	0.001112348
Kang09	0.03424683	0.001383741
Kang09	0.01397814	0.001532684
Kang09	0.014224745	0.001970888
Rohde71a	0.030368058	0.012035666
Rohde71a	0.020782433	0.004789438
Rohde71a	0.058870307	0.003091299
Rohde71a	0.153793809	0.002244049
Rohde71a	0.161616951	0.002609318
Rohde71a	0.172629318	0.003033953
Rohde71a	0.243504812	0.00431171
Rohde71a	0.378832114	0.006335427
Rohde71a	0.776769572	0.007482104
Rohde71a	1.376028906	0.009774095
Rohde71a	1.211234088	0.017877769
Rohde71a	2.136523251	0.009444209
Rohde71a	1.753727701	0.006424598
Rohde71a	0.668494996	0.003639449
Rohde71a	1.74832373	0.003340933
Rohde71a	1.322124227	0.002055529
Rohde71a	0.655970739	0.002092952
Rohde71a	0.035977499	0.001504609
Rohde71a	0.053271004	0.001966156
Rohde71a	0.02036727	0.002106223
Rohde71a	0.00994181	0.002144633
Rohde71a	0.644343636	0.001496726
Rohde71b	0.003977089	0.001062312
Rohde71b	0.005767944	0.00054287
Rohde71b	0.006781119	0.000422031
Rohde71b	0.010542202	0.000533258
Rohde71b	0.010897605	0.000599629
Rohde71b	0.015568871	0.000400722
Rohde71b	0.009900201	0.00088193
Rohde71b	0.008553304	0.000975526
Rohde71b	0.013718431	0.000911463
Rohde71b	0.015923983	0.001506843
Rohde71b	0.01568263	0.001873873
Rohde71b	0.027153274	0.000608754
Rohde71b	0.033528185	0.000489345
Rohde71b	0.043481585	0.000406736
Rohde71b	0.05118011	0.000406615
Rohde71b	0.071970398	0.000300501
Rohde71b	0.063255961	0.0003997
Rohde71b	0.152352361	0.000305165
Rohde71b	0.170767919	0.000305102
Rohde71b	0.236572153	0.000299851
Rohde71b	0.68255344	0.000299273
Rohde71b	0.778677416	0.000397878
Rohde71b	1.288963094	0.000298927
Rohde71b	1.313261085	0.000494307
Rohde71b	1.134146549	0.000502799
Rohde71b	1.294380403	0.000726916
Rohde71b	1.739767058	0.00118145
Rohde71b	2.504671433	0.004014955
Rohde71b	2.959817682	0.009281675
Schenck70	0.01773475	0.012251152
Schenck70	0.051774843	0.004701986
Schenck70	0.083053517	0.00454302
Schenck70	0.075302914	0.004393989
Schenck70	0.090042314	0.003906131
Schenck70	0.104254349	0.003776312
Schenck70	0.120738233	0.003839134
Schenck70	0.141834374	0.002523871
Schenck70	0.206222961	0.00220556
Schenck70	0.267422521	0.001802747
Schenck70	0.31477036	0.001802212
Schenck70	0.556946757	0.001830781
Schenck70	0.504732457	0.001601259
Schenck70	0.644190688	0.001423305
Schenck70	1.364319008	0.001598363
Schenck70	1.277387476	0.001397897
Schenck70	1.737565691	0.000903465
Schenck70	1.948672684	0.001015762
Schenck70	2.010704255	0.000776716
Schenck70	2.44939762	0.001122795
Schenck70	3.178302188	0.001049465
Schenck70	3.446023046	0.000917597
Schenck70	2.751340206	0.001765267
Schenck70	2.840945462	0.001569691
Schenck70	2.981444414	0.001372535
Schenck70	3.568686151	0.001517297
Schenck70	3.810042297	0.001595378
Schenck70	4.343172181	0.001793622
Schenck70	3.880636123	0.002467002
Schenck70	8.332011988	0.001593107
Schenck70	5.641436606	0.00208477
Schenck70	5.737330469	0.002344314
Schenck70	7.208724456	0.00238296
Schenck70	6.64868006	0.002725418
Schenck70	6.439485948	0.003116814
Schenck70	7.220142413	0.003332319
Schenck70	4.357631057	0.00362705
Schenck70	4.887065078	0.004077874
Schenck70	5.657083048	0.003748956
Schenck70	7.231006223	0.00458242
Suito91a	0.863798826	0.001398893
Suito91a	0.022403228	0.001231457
Suito91a	0.362927534	0.000716486
Suito91a	0.131781555	0.000434072
Suito91a	0.127584689	0.000456491
Suito91a	0.168206279	0.000392356
Suito91a	0.101551038	0.000456681
Suito91a	0.091957732	0.000337772
Suito91b	0.000690553	0.008380449
Suito91b	0.000895414	0.006735994
Suito91b	0.003177359	0.002337021
Suito91b	0.005008928	0.001785656
Suito91b	0.011109186	0.001115025
Suito91b	0.01246285	0.001340574
Suito91b	0.013272082	0.000824282
Suito91b	0.022753411	0.001041338
Suito91b	0.029983612	0.000809376
Suito91b	0.036386932	0.000523211
Suito91b	0.044287227	0.000628953
Suito91b	0.045787504	0.000731351
Suito91b	0.049715128	0.000864722
Suito91b	0.063280994	0.000434652
Suito91b	0.098239157	0.000406133
Suito91b	0.092110673	0.000480324
Suito91b	0.095223483	0.000549238
Suito91b	0.123697549	0.000649187
Suito91b	0.129815011	0.000567648
Suito91b	0.168672797	0.000705557
Suito91b	0.132345885	0.001073403
Suito91b	0.153368444	0.001247901
Suito91b	0.271258918	0.001165744
Suito91b	0.388732098	0.001498104
Suito91b	0.42100985	0.001035821
Suito91b	0.878898988	0.001739526
Suito92a	0.463351523	0.000681036
Suito92a	0.641850028	0.000658187
Suito92a	0.875289834	0.000727434
Suito92a	0.07423791	0.000214877
Suito92a	0.063356153	0.000558939
Suito92b	0.001111072	0.015311833
Suito92b	0.009997033	0.006935173
Suito92b	0.01047899	0.00471568
Suito92b	0.01171964	0.002948305
Suito92b	0.026447098	0.002289315
Suito92b	0.056864809	0.001999162
Suito92b	0.07615988	0.001527961
Suito92b	0.062603612	0.001405592
Suito92b	0.058610004	0.001208864
Suito92b	0.848958096	0.001124962
Suito92b	2.787720335	0.000902688
Suito92b	4.70231191	0.001159706
Suito92b	11.33002837	0.000962843
Suito92b	14.98711548	0.001673499
Suito92b	21.12858825	0.002114929
Suito92b	26.10970629	0.002010406
Suito92b	32.80579344	0.002043548
